 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,4B,140,NULL,16
1998,4B,95,NULL,11
1998,4B,70,NULL,7
1998,4B,103,NULL,11
1998,4B,110,NULL,11
1998,4B,98,NULL,11
1998,4B,108,NULL,12
1998,4B,105,NULL,13
1998,4B,107,NULL,12
1998,4B,122,18,17
1998,4B,111,19,16
1998,4B,80,NULL,8
1998,4B,88,NULL,13
1998,4B,105,19,19
1998,4B,79,NULL,10
1998,4B,86,12,11
1998,4B,86,NULL,11
1998,4B,103,19,17
1998,4B,91,14,13
1998,4B,78,NULL,11
1998,4B,80,NULL,10
1998,4B,101,16,14
1998,4B,103,NULL,11
1998,4B,92,NULL,11
1998,4B,89,NULL,13
1998,4B,88,NULL,11
1998,4B,85,NULL,11
1998,4B,91,NULL,11
1998,4B,94,NULL,16
1998,4B,97,NULL,14
1998,4B,96,20,17
1998,4B,86,NULL,9
1998,4B,84,NULL,11
1998,4B,107,NULL,15
1998,4B,79,NULL,11
1998,4B,100,NULL,11
1998,4B,115,NULL,14
1998,4B,89,NULL,10
1998,4B,101,NULL,12
1998,4B,108,NULL,19
1998,4B,90,NULL,11
1998,4B,92,NULL,11
1998,4B,78,NULL,15
1998,4B,72,NULL,10
1998,4B,96,NULL,11
1998,4B,104,NULL,12
1998,4B,88,NULL,10
1998,4B,89,NULL,11
1998,4B,70,NULL,9
1998,4B,86,NULL,12
1998,4B,92,NULL,12
1998,4B,71,NULL,8
1998,4B,96,NULL,11
1998,4B,74,NULL,10
1998,4B,65,NULL,8
1998,4B,97,NULL,12
1998,4B,110,NULL,17
1998,4B,108,11,10
1998,4B,97,NULL,11
1998,4B,115,19,18
1998,4B,88,NULL,10
1998,4B,77,NULL,8
1998,4B,78,NULL,9
1998,4B,72,NULL,9
1998,4B,76,8,8
1998,4B,83,NULL,9
1998,4B,86,NULL,10
1998,4B,79,NULL,10
1998,4B,92,NULL,10
1998,4B,81,NULL,9
1998,4B,71,NULL,8
1998,4B,82,NULL,7
1998,4B,76,NULL,9
1998,4B,90,NULL,12
1998,4B,98,NULL,13
1998,4B,110,20,20
1998,4B,108,23,22
1998,4B,73,NULL,9
1998,4B,117,22,21
1998,4B,99,NULL,14
1998,4B,106,24,21
1998,4B,103,21,20
1998,4B,133,NULL,16
1998,3A,76,NULL,10
1998,3A,144,NULL,11
1998,3A,129,NULL,16
1998,3A,128,NULL,14
1998,3A,81,NULL,11
1998,3A,78,NULL,13
1998,3A,108,NULL,13
1998,3A,68,NULL,11
1998,3A,89,NULL,11
1998,3A,123,19,19
1998,3A,93,NULL,13
1998,3A,124,NULL,12
1998,3A,84,NULL,10
1998,3A,106,NULL,12
1998,3A,75,NULL,11
1998,3A,75,NULL,9
1998,3A,90,NULL,9
1998,3A,67,NULL,8
1998,3A,88,NULL,13
1998,3A,77,10,9
1998,3A,83,NULL,13
1998,3A,105,NULL,11
1998,3A,85,NULL,9
1998,3A,78,NULL,9
1998,3A,71,NULL,11
1998,3A,84,NULL,15
1998,3A,77,NULL,9
1998,3A,86,19,17
1998,3A,71,NULL,9
1998,3A,84,15,14
1998,3A,73,NULL,11
1998,3A,146,17,17
1998,3A,86,NULL,14
1998,3A,72,NULL,8
1998,3A,81,16,15
1998,3A,102,NULL,15
1998,3A,108,NULL,16
1998,3A,86,NULL,11
1998,3A,81,NULL,12
1998,3A,90,NULL,12
1998,3A,113,NULL,16
1998,3A,111,NULL,13
1998,3A,85,15,13
1998,3A,106,NULL,15
1998,3A,96,NULL,13
1998,3A,142,23,21
1998,3A,105,19,19
1998,3A,87,NULL,15
1998,3A,82,NULL,13
1998,3A,96,NULL,11
1998,3A,84,NULL,14
1998,3A,103,NULL,15
1998,3A,106,NULL,13
1998,3A,113,NULL,15
1998,3A,99,NULL,13
1998,3A,118,NULL,15
1998,3A,114,NULL,14
1998,3A,103,18,15
1998,3A,84,NULL,12
1998,3A,105,16,14
1998,3A,102,NULL,17
1998,3A,110,NULL,14
1998,3A,106,NULL,14
1998,3A,85,NULL,13
1998,3A,101,NULL,15
1998,3A,91,NULL,11
1998,3A,69,NULL,6
1998,3A,94,NULL,15
1998,3A,77,NULL,9
1998,3A,90,NULL,12
1998,3A,74,NULL,8
1998,3A,74,NULL,11
1998,3A,71,NULL,8
1998,3A,87,NULL,14
1998,3A,83,NULL,13
1998,3A,93,NULL,10
1998,3A,71,NULL,9
1998,3A,90,16,16
1998,3A,84,NULL,14
1998,3A,86,NULL,11
1998,3A,81,NULL,13
1998,3A,97,NULL,10
1998,3A,89,NULL,11
1998,3A,105,NULL,13
1998,3A,99,NULL,10
1998,3A,101,NULL,12
1998,3A,87,15,13
1998,3A,106,NULL,12
1998,3A,80,NULL,11
1998,3A,82,NULL,9
1998,3A,56,NULL,5
1998,3A,115,NULL,10
1998,3A,97,NULL,11
1998,3A,68,NULL,8
1998,3A,96,NULL,16
1998,3A,84,NULL,15
1998,3A,85,NULL,13
1998,3A,94,NULL,12
1998,3A,89,18,18
1998,3A,74,NULL,8
1998,3A,133,NULL,15
1998,3A,64,NULL,7
1998,3A,84,NULL,12
1998,3A,111,NULL,12
1998,3A,81,NULL,11
1998,3A,85,NULL,12
1998,3A,72,NULL,10
1998,3A,83,NULL,12
1998,3A,82,NULL,8
1998,3A,96,NULL,12
1998,3A,88,NULL,11
1998,3A,141,NULL,13
1998,3A,110,NULL,12
1998,3A,124,NULL,9
1998,3A,106,NULL,11
1998,3A,88,NULL,11
1998,3A,153,20,19
1998,3A,131,NULL,12
1998,3A,91,NULL,10
1998,3A,72,NULL,10
1998,3A,69,NULL,6
1998,3A,77,NULL,13
1998,3A,83,17,16
1998,3A,84,NULL,11
1998,3A,92,NULL,11
1998,3A,92,NULL,10
1998,3A,78,NULL,13
1998,3A,77,NULL,13
1998,3A,78,NULL,14
1998,3A,93,NULL,12
1998,3A,86,NULL,9
1998,3A,78,NULL,9
1998,3A,73,NULL,11
1998,3A,108,NULL,11
1998,3A,84,NULL,11
1998,3A,90,NULL,11
1998,3A,115,NULL,17
1998,3A,101,NULL,14
1998,3A,107,NULL,14
1998,3A,84,15,12
1998,3A,80,NULL,14
1998,3A,74,NULL,11
1998,3A,90,21,18
1998,3A,81,NULL,12
1998,3A,79,NULL,14
1998,3A,77,NULL,13
1998,3A,77,NULL,11
1998,3A,75,NULL,11
1998,3A,103,NULL,10
