"","age","len","n","sd","se","weight","reg","year","sex"
"71",19,106.928571428571,14,18.8698550225334,1.34784678732381,11.7775542457546,"3A","2014","F"
"72",20,112,6,8.96660470858396,1.49443411809733,13.6854067297045,"3A","2014","F"
"85",5,49,1,NA,NA,0.939780901660592,"3B","2014","F"
"86",6,64.1666666666667,6,5.30722777603022,0.884537962671703,2.25151076654018,"3B","2014","F"
"87",7,65.8846153846154,26,6.25668872856512,0.240641874175582,2.45274005955106,"3B","2014","F"
"88",8,69.2674418604651,86,6.87950822217206,0.0799942816531635,2.88473389869305,"3B","2014","F"
"89",9,72.6111111111111,270,9.35904362879034,0.0346631245510753,3.36078943225463,"3B","2014","F"
"90",10,75.5197132616487,279,10.4064246856271,0.037299013210133,3.8168649380641,"3B","2014","F"
"91",11,81.8802083333333,192,12.1720314530727,0.0633959971514201,4.96010737469264,"3B","2014","F"
"92",12,85.8863636363636,176,13.9098582251638,0.0790332853702486,5.79036277378503,"3B","2014","F"
"93",13,90.9322033898305,118,14.1751732008649,0.120128586448008,6.96685402896595,"3B","2014","F"
"94",14,94.0588235294118,85,15.6466586583484,0.18407833715704,7.77330722991155,"3B","2014","F"
"95",15,92.3260869565217,46,13.6578090773107,0.296908892985015,7.31884360098505,"3B","2014","F"
"96",16,98.4666666666667,15,21.8202614449005,1.4546840963267,9.01671704384081,"3B","2014","F"
"97",17,113.571428571429,7,16.081636969508,2.29737670992972,14.3173671793232,"3B","2014","F"
"98",18,110.333333333333,3,7.50555349946513,2.50185116648838,13.0365042403708,"3B","2014","F"
"99",19,122,3,19.9749843554382,6.65832811847939,18.0549864605944,"3B","2014","F"
"100",20,NA,0,NA,NA,NA,"3B","2014","F"
"110",4,58,1,NA,NA,1.62292337272982,"Full","2014","M"
"22",5,65.75,4,12.0381338531629,3.00953346329073,2.4365401314874,"Full","2014","M"
"311",6,63.35,20,4.72702198451681,0.236351099225841,2.15998314369584,"Full","2014","M"
"49",7,64.8032786885246,61,7.23376267266017,0.118586273322298,2.32469257631348,"Full","2014","M"
"511",8,66.1830985915493,142,7.10969742132778,0.0500682916994914,2.48892556007467,"Full","2014","M"
"611",9,67.1822660098522,406,6.42266671189055,0.0158193761376615,2.61274109285993,"Full","2014","M"
"710",10,70.9082352941176,425,7.92527321957316,0.0186477016931133,3.11206421438368,"Full","2014","M"
"811",11,74.6459459459459,370,7.71522601855548,0.0208519622123121,3.6756274638939,"Full","2014","M"
"911",12,77.2,400,8.69505664300484,0.0217376416075121,4.0989381840739,"Full","2014","M"
"109",13,78.411575562701,311,9.08336272959174,0.0292069541144429,4.31105040148594,"Full","2014","M"
"112",14,79.3936781609195,348,8.20259783336998,0.0235706834292241,4.48846356833308,"Full","2014","M"
"122",15,81.2088607594937,316,8.47671229878799,0.0268250389202152,4.82954692457151,"Full","2014","M"
"132",16,81.2233502538071,197,6.71207128712375,0.03407142785342,4.83233939122251,"Full","2014","M"
"142",17,82.5766423357664,137,7.81939766348183,0.057075895353882,5.09810420755097,"Full","2014","M"
"152",18,83.6126126126126,111,7.72383697767228,0.0695841169159665,5.30825683816046,"Full","2014","M"
"162",19,85.5535714285714,56,7.1475860969272,0.127635466016557,5.7179835522816,"Full","2014","M"
"172",20,87.9642857142857,56,8.00446304079347,0.142936840014169,6.25668064975741,"Full","2014","M"
"18",4,NA,0,NA,NA,NA,"2B","2014","M"
"211",5,NA,0,NA,NA,NA,"2B","2014","M"
"3101",6,68.3333333333333,3,0.577350269189626,0.192450089729875,2.7605839598894,"2B","2014","M"
"48",7,69.1111111111111,18,8.89738156385408,0.494298975769671,2.86369282584657,"2B","2014","M"
"512",8,67.9024390243902,41,5.83868511759617,0.142406954087712,2.704580597887,"2B","2014","M"
"6101",9,69.7931034482759,116,6.04694280123265,0.0521288172520056,2.95626831698498,"2B","2014","M"
"78",10,73.4285714285714,112,5.93616839704664,0.0530015035450593,3.48493090295774,"2B","2014","M"
