"","age","len","n","sd","se","weight","reg","year","sex"
"1811",20,116.4,10,8.63069457743054,0.863069457743054,15.5052571014909,"2B","1980s","M"
"26",3,NA,0,NA,NA,NA,"2C","1980s","M"
"27",4,57.4,10,18.4161764640643,1.84161764640643,1.56915500747082,"2C","1980s","M"
"28",5,57.2258064516129,31,7.1213747615628,0.229721766502026,1.55377862223132,"2C","1980s","M"
"292",6,63.5929203539823,113,7.90980084648785,0.0699982375795385,2.18693426159407,"2C","1980s","M"
"302",7,68.3235294117647,306,8.73225987842655,0.028536796988322,2.75930091041036,"2C","1980s","M"
"316",8,74.2846889952153,418,10.404426517115,0.0248909725289833,3.61830421690544,"2C","1980s","M"
"323",9,80.6428571428571,546,11.041153804125,0.0202218934141483,4.7213353833625,"2C","1980s","M"
"333",10,89.0636363636364,550,12.74742537863,0.0231771370520545,6.51359401321085,"2C","1980s","M"
"343",11,94.3684210526316,532,12.5998676848405,0.02368396181361,7.85651215581292,"2C","1980s","M"
"353",12,98.1360946745562,507,12.9182294112411,0.0254797424284834,8.91900761090391,"2C","1980s","M"
"363",13,103.015113350126,397,13.0589097762868,0.0328939792853573,10.4373531135129,"2C","1980s","M"
"373",14,105.919708029197,274,13.2645985065819,0.0484109434546784,11.4213138690977,"2C","1980s","M"
"383",15,109.769911504425,226,12.4518691855623,0.0550967663077978,12.8220437181759,"2C","1980s","M"
"393",16,114.61935483871,155,13.5796213667459,0.0876104604306185,14.7498330551261,"2C","1980s","M"
"403",17,114.744186046512,129,14.1687811919415,0.109835513115826,14.801943764977,"2C","1980s","M"
"414",18,120.373493975904,83,15.1099311901175,0.182047363736355,17.2866692839916,"2C","1980s","M"
"423",19,120.945454545455,55,12.0990023797774,0.219981861450498,17.5542169369365,"2C","1980s","M"
"433",20,122.30303030303,33,14.0567707184226,0.425962749043109,18.200692025123,"2C","1980s","M"
"516",3,NA,0,NA,NA,NA,"3A","1980s","M"
"52",4,48.8148148148148,27,5.79148603911902,0.214499482930334,0.928322013428897,"3A","1980s","M"
"53",5,55.4623655913978,93,7.90371285864097,0.084986159770333,1.40393207688845,"3A","1980s","M"
"54",6,62.325,240,6.78499760269812,0.0282708233445755,2.04878849249544,"3A","1980s","M"
"55",7,69.5833333333333,384,8.18891394357535,0.0213252967280608,2.92757654519988,"3A","1980s","M"
"56",8,78.088424437299,622,10.6218970390628,0.0170770048859531,4.2537513026949,"3A","1980s","M"
"572",9,83.9788732394366,852,11.7619164624618,0.013805066270495,5.38396534855952,"3A","1980s","M"
"582",10,92.789817232376,766,14.1224875409978,0.0184366678080911,7.43861960206111,"3A","1980s","M"
"592",11,99.0112044817927,714,14.4013747183595,0.0201699926027445,9.17927940821319,"3A","1980s","M"
"602",12,104.205673758865,564,15.0284597890303,0.0266462052996991,10.8332643637945,"3A","1980s","M"
"616",13,108.262210796915,389,15.8544649227395,0.0407569792358343,12.260168641986,"3A","1980s","M"
"623",14,114.438405797101,276,16.1650524165897,0.0585690304948903,14.6745213688287,"3A","1980s","M"
"633",15,115.472392638037,163,15.7551923181117,0.0966576215835074,15.108472876743,"3A","1980s","M"
"643",16,122.625,120,17.818441254484,0.148487010454033,18.3563927732624,"3A","1980s","M"
"653",17,125.254901960784,51,17.770585963614,0.348442862031648,19.6628400015693,"3A","1980s","M"
"663",18,133.275862068966,29,18.5296992337863,0.638955145992632,24.0428627281975,"3A","1980s","M"
"673",19,138.772727272727,22,15.8833000594719,0.721968184521451,27.4066955717802,"3A","1980s","M"
"683",20,144.444444444444,9,15.0757347342601,1.67508163714002,31.2048462133074,"3A","1980s","M"
"761",3,NA,0,NA,NA,NA,"3B","1980s","M"
"771",4,41,2,1.4142135623731,0.707106781186548,0.527486089823476,"3B","1980s","M"
"781",5,52.25,8,4.74341649025257,0.592927061281571,1.15715333351043,"3B","1980s","M"
"79",6,61.04,25,6.59216706908029,0.263686682763212,1.91505996162978,"3B","1980s","M"
"80",7,68.9464285714286,56,7.72580008885727,0.137960715872451,2.84164266976912,"3B","1980s","M"
"816",8,75.6265060240964,83,9.6230298501519,0.115940118676529,3.83438037528459,"3B","1980s","M"
"82",9,81.3430656934307,137,11.4701902365143,0.0837240163249223,4.85545410238632,"3B","1980s","M"
"83",10,86.3294117647059,85,12.7123751436432,0.149557354631096,5.88770129382626,"3B","1980s","M"
"84",11,93.4153846153846,65,11.7205646030976,0.180316378509194,7.60233410513962,"3B","1980s","M"
"852",12,101.157894736842,57,16.267616246576,0.28539677625572,9.83989831800061,"3B","1980s","M"
"862",13,103.1,20,14.7537684748855,0.737688423744277,10.4652447887551,"3B","1980s","M"
"872",14,105.266666666667,15,16.0422062370604,1.06948041580403,11.1947329404369,"3B","1980s","M"
"882",15,107.555555555556,9,21.3489526154746,2.37210584616384,12.0027771490786,"3B","1980s","M"
"892",16,118,4,10.5198225587063,2.62995563967658,16.2064920074605,"3B","1980s","M"
"902",17,130,2,12.7279220613579,6.36396103067893,22.180318450514,"3B","1980s","M"
"916",18,109,1,NA,NA,12.5329460165823,"3B","1980s","M"
"923",19,136,4,17.625738755203,4.40643468880076,25.6718625492144,"3B","1980s","M"
"933",20,NA,0,NA,NA,NA,"3B","1980s","M"
